Name,Latitude,Longitude,Day,Category,Notes
TBS Tbilisi Airport,41.6692,44.9547,D1/D14,Logistics,到埗/離埗
MotoTravel Georgia (rental),41.7100,44.7800,D2/D13,Logistics,取還車 61 Shandor Petepis St (座標約)
Tbilisi Old Town / Meidan,41.6880,44.8090,D1/D13,Sight,舊城
Narikala Fortress + cable car,41.6875,44.8078,D1,Sight,纜車+觀景(城牆維修中)
Chreli-Abano sulfur bath,41.6895,44.8095,D1,Food/Spa,硫磺浴 2 Abano St 要book
Sameba Cathedral,41.6975,44.8188,D1/D13,Sight,聖三一大教堂
Mtatsminda Park,41.6952,44.7877,D13,Sight,纜索鐵路+全城景
Dry Bridge Market,41.6987,44.8028,D13,Sight,古董市集
Fabrika Tbilisi,41.7028,44.7995,D1,Food,文創園夜蒲
Zakhar Zakharich (khinkali),41.6928,44.8100,D1,Food,膜拜級khinkali
Barbarestan (dinner),41.7080,44.8000,D13,Food,告別晚餐 要book
Jvari Monastery,41.8383,44.7328,D2,Sight,山頂 免費
Svetitskhoveli Cathedral,41.8419,44.7206,D2,Sight,Mtskheta 免費
Ananuri Fortress,42.1631,44.7028,D2,Sight,路邊 免費
Korbuda Pasanauri (lunch),42.3489,44.6822,D2,Food,khinkali發源地
Gudauri (fuel),42.4783,44.4783,D2,Fuel,上山前入油
Russia-Georgia Friendship Monument,42.4906,44.4531,D2,Sight,馬賽克觀景台
Jvari Pass 2379m,42.5017,44.4531,D2,Pass,雪崩廊道(座標約)
Stepantsminda / Kazbegi,42.6572,44.6417,D2-3,Base,過夜鎮
Rooms Hotel Kazbegi,42.6564,44.6389,D2-3,Lodging,山景房型
Gergeti Trinity Church,42.6625,44.6203,D2,Sight,騎6km上 免費
Maisi (Kazbegi dinner),42.6600,44.6250,D3,Food,週三休 要book
Truso Valley turnoff,42.6000,44.5500,D3,Sight,碎石+護照(座標約)
Dariali Gorge / Gveleti,42.7350,44.6260,D3,Sight,近俄邊境+護照
Newport Hotel Kutaisi,42.2679,42.7050,D4/D7,Lodging,免費泊車中心
Gelati Monastery,42.2953,42.7683,D7,Sight,週末內部開 免費
Bagrati Cathedral,42.2758,42.7089,D7,Sight,山頂城景
Motsameta Monastery,42.2903,42.7847,D7,Sight,懸崖景
El Depo (Kutaisi khinkali),42.2700,42.7050,D4,Food,全城最佳khinkali
Zugdidi (fuel),42.5088,41.8709,D5,Fuel,Svaneti前最後大鎮
Enguri Dam,42.7628,42.0281,D5,Sight,751m拱壩觀景
Mestia,43.0439,42.7289,D5,Base,斯凡塔樓鎮
Svaneti Museum,43.0430,42.7290,D5,Sight,20 GEL 週一休
Hotel Banguriani (Mestia),43.0450,42.7300,D5,Lodging,Ushba景
Mestia Socar (fuel),43.0420,42.7250,D5-6,Fuel,Ushguli前入滿
Cafe Laila (Mestia),43.0435,42.7295,D5,Food,斯凡民歌+kubdari
Ushguli,42.9167,43.0167,D6,Base,歐洲最高村 現金
Shkhara Glacier viewpoint,42.9300,43.0400,D6,Sight,冰川壁景(座標約)
Ushguli Panorama Guest House,42.9160,43.0160,D6,Lodging,現金
Zagari Pass 2620m,42.8600,43.0000,D7,Pass,初雪風險(座標約)
Lentekhi (fuel),42.7889,42.7250,D7,Fuel,Zagari後第一站
Borjomi Central Park,41.8397,43.3806,D8,Sight,礦泉直飲
Cafe Iggy (Borjomi),41.8400,43.3900,D8,Food,鱒魚包葡萄葉
Rabati Castle,41.6389,42.9861,D8,Sight,上堡20 GEL
Hotel Lomsia (Akhaltsikhe),41.6400,42.9850,D8,Lodging,行去Rabati
Ninotsminda (fuel),41.2650,43.5947,D9,Fuel,過Bavra前入油
Bavra-Ninotsminda border,41.2000,43.6500,D9,Border,亞美尼亞入境買保險(座標約)
Gyumri Vardanants Square,40.7894,43.8475,D9,Sight,老城中心
Gyumri Black Fortress,40.7856,43.8253,D9,Sight,圓堡城景
Villa Kars (Gyumri),40.7900,43.8450,D9,Lodging,新藝術精品
Gyumri to Yerevan M1,40.5000,44.2000,D10,Route,4線快速路
Grand Hotel Yerevan,40.1817,44.5147,D10-11,Lodging,免費泊車
Yerevan Republic Square,40.1776,44.5126,D10,Sight,音樂噴泉
Cascade Complex Yerevan,40.1908,44.5153,D10,Sight,戶外24h
Matenadaran,40.1917,44.5211,D10,Sight,古手稿館 2000 AMD
Sherep (Yerevan dinner),40.1810,44.5100,D10,Food,新派亞美尼亞菜
Garni Temple,40.1122,44.7300,D11,Sight,1500 AMD+玄武岩柱
Geghard Monastery,40.1597,44.8181,D11,Sight,UNESCO岩鑿 免費
Khor Virap (optional),39.8783,44.5772,D11,Sight,Ararat景 免費
Echmiadzin Cathedral (optional),40.1619,44.2914,D11,Sight,2024重開
Alaverdi / Debed Canyon,41.0972,44.6597,D12,Base,修道院峽谷
Sanahin Monastery,41.0839,44.6672,D12,Sight,UNESCO 免費
Haghpat Monastery,41.0919,44.7114,D12,Sight,UNESCO 免費
Akhtala Monastery,41.1531,44.7592,D12,Sight,拜占庭壁畫 免費
Bagratashen-Sadakhlo border,41.2094,44.8156,D12,Border,返格魯吉亞
