Name,Latitude,Longitude,Day,Category,Notes
Camp Hotel Pura Vida Tbilisi,41.6900,44.8050,Base,Lodging,住宿基地(座標約)
TBS Tbilisi Airport,41.6692,44.9547,抵埗/回程,Logistics,28/9晚到 10/10飛
MotoTravel Georgia (rental),41.7100,44.7800,D1/D11,Logistics,取還車 61 Shandor Petepis St(約)
Jvari Monastery,41.8383,44.7328,D1,Sight,山頂 免費
Svetitskhoveli Cathedral,41.8419,44.7206,D1,Sight,Mtskheta 免費
Ananuri Fortress,42.1631,44.7028,D1,Sight,路邊 免費
Korbuda Pasanauri (lunch),42.3489,44.6822,D1,Food,khinkali發源地
Gudauri (fuel),42.4783,44.4783,D1,Fuel,上山前入油
Friendship Monument,42.4906,44.4531,D1,Sight,馬賽克觀景台
Jvari Pass 2379m,42.5017,44.4531,D1,Pass,雪崩廊道(約)
Stepantsminda / Kazbegi,42.6572,44.6417,D1,Base,過夜鎮
Landscapes Hotel Kazbegi,42.65506,44.64829,D1,Lodging,鎮內 Marjanishvili St 已訂29/9-1/10
Rooms Hotel Kazbegi (The Kitchen),42.6588,44.6507,D1,Food,非住客唔收訂位 18:30早到
Gergeti Trinity Church,42.6625,44.6203,D1,Sight,騎6km上 免費
Dariali Gorge / Gveleti,42.7350,44.6260,D2,Sight,近俄邊境+護照
Schuchmann Wines Chateau,41.8700,45.5200,D2,Lodging,酒莊酒店 Kisiskhevi(約)
Gori Stalin Museum,41.9847,44.1156,D3,Sight,15 GEL
Uplistsikhe cave town,41.9661,44.2078,D3,Sight,15 GEL+語音
Newport Hotel Kutaisi,42.2679,42.7050,D3/D6,Lodging,免費泊車中心
Gelati Monastery,42.2953,42.7683,D6,Sight,週日內部開! 免費
Bagrati Cathedral,42.2758,42.7089,D3,Sight,山頂城景
Motsameta Monastery,42.2903,42.7847,D6,Sight,懸崖景
Zugdidi (fuel),42.5088,41.8709,D4,Fuel,Svaneti前最後大鎮
Enguri Dam,42.7628,42.0281,D4,Sight,751m拱壩
Mestia,43.0439,42.7289,D4,Base,斯凡塔樓鎮
Svaneti Museum,43.0430,42.7290,D4,Sight,20 GEL 週五開
Hotel Banguriani (Mestia),43.0450,42.7300,D4,Lodging,Ushba景
Mestia Socar (fuel),43.0420,42.7250,D4-5,Fuel,Ushguli前入滿
Cafe Laila (Mestia),43.0435,42.7295,D4,Food,斯凡民歌+kubdari
Ushguli,42.9167,43.0167,D5,Base,歐洲最高村 現金
Shkhara Glacier viewpoint,42.9300,43.0400,D5,Sight,冰川壁景(約)
Ushguli Panorama Guest House,42.9160,43.0160,D5,Lodging,現金
Zagari Pass 2620m,42.8600,43.0000,D6,Pass,初雪風險(約)
Lentekhi (fuel),42.7889,42.7250,D6,Fuel,Zagari後第一站
Borjomi Central Park,41.8397,43.3806,D7,Sight,礦泉直飲
Cafe Iggy (Borjomi),41.8400,43.3900,D7,Food,鱒魚包葡萄葉
Rabati Castle,41.6389,42.9861,D7,Sight,上堡20 GEL
Hotel Lomsia (Akhaltsikhe),41.6400,42.9850,D7,Lodging,行去Rabati
Ninotsminda (fuel),41.2650,43.5947,D8,Fuel,過Bavra前入油
Bavra-Ninotsminda border,41.2000,43.6500,D8,Border,入亞美尼亞買保險(約)
Gyumri Vardanants Square,40.7894,43.8475,D8,Sight,老城中心
Gyumri Black Fortress,40.7856,43.8253,D8,Sight,圓堡城景
Villa Kars (Gyumri),40.7900,43.8450,D8,Lodging,新藝術精品
Grand Hotel Yerevan,40.1817,44.5147,D9-10,Lodging,免費泊車
Yerevan Republic Square,40.1776,44.5126,D9,Sight,音樂噴泉
Cascade Complex Yerevan,40.1908,44.5153,D9,Sight,戶外24h
Matenadaran,40.1917,44.5211,D9,Sight,古手稿館 2000 AMD
Sherep (Yerevan dinner),40.1810,44.5100,D9,Food,新派亞美尼亞菜
Garni Temple,40.1122,44.7300,D10,Sight,1500 AMD+玄武岩柱
Geghard Monastery,40.1597,44.8181,D10,Sight,UNESCO岩鑿 免費
Khor Virap (optional),39.8783,44.5772,D10,Sight,Ararat景 免費
Sanahin Monastery,41.0839,44.6672,D11,Sight,UNESCO 免費
Haghpat Monastery,41.0919,44.7114,D11,Sight,UNESCO 免費
Bagratashen-Sadakhlo border,41.2094,44.8156,D11,Border,返格魯吉亞
